"('Year', '1990s')","('Director(s)', '1990s')","('English Title', '1990s')","('Original Title', '1990s')",Number of Wins,Director,Nationality,Films,Year,English Title,Original Title,Director(s),Production Country,Screenwriter
1990 (47th),Martin Scorsese,Goodfellas,Goodfellas,,,,,,,,,,
1998 (55th),Emir Kusturica,"Black Cat, White Cat","Црна мачка, бели мачор",,,,,,,,,,
1999 (56th),Zhang Yuan,Seventeen Years,過年回家,,,,,,,,,,
2000s,2000s,2000s,2000s,,,,,,,,,,
2000 (57th),Buddhadeb Dasgupta,Uttara,উত্তরা,,,,,,,,,,
2001 (58th),Babak Payami,Secret Ballot,رأی مخفی,,,,,,,,,,
2002 (59th),Lee Chang-dong,Oasis,오아시스,,,,,,,,,,
2003 (60th),Takeshi Kitano,Zatōichi,座頭市,,,,,,,,,,
2004 (61st),Kim Ki-duk,3-Iron,빈집,,,,,,,,,,
2005 (62nd),Philippe Garrel,Regular Lovers,Les Amants réguliers,,,,,,,,,,
2006 (63rd),Alain Resnais,Private Fears in Public Places,Cœurs,,,,,,,,,,
2007 (64th),Brian De Palma,Redacted,Redacted,,,,,,,,,,
2008 (65th),Aleksei Alekseivich German,Paper Soldier,Бумажный солдат,,,,,,,,,,
2009 (66th),Shirin Neshat,Women Without Men,Zanan-e bedun-e mardan,,,,,,,,,,
2010s,2010s,2010s,2010s,,,,,,,,,,
2010 (67th),Álex de la Iglesia,The Last Circus,Balada triste de trompeta,,,,,,,,,,
2011 (68th),Cai Shangjun,People Mountain People Sea,人山人海,,,,,,,,,,
2012 (69th),Paul Thomas Anderson,The Master,The Master,,,,,,,,,,
2013 (70th),Alexandros Avranas,Miss Violence,Miss Violence,,,,,,,,,,
2014 (71st),Andrei Konchalovsky,The Postman's White Nights,Белые ночи почтальона Алексея Тряпицына,,,,,,,,,,
2015 (72nd),Pablo Trapero,The Clan,El Clan,,,,,,,,,,
2016 (73rd),Amat Escalante,The Untamed,La región salvaje,,,,,,,,,,
2016 (73rd),Andrei Konchalovsky,Paradise,Рай,,,,,,,,,,
2017 (74th),Xavier Legrand,Custody,Jusqu'à la garde,,,,,,,,,,
2018 (75th),Jacques Audiard,The Sisters Brothers,The Sisters Brothers,,,,,,,,,,
2019 (76th),Roy Andersson,About Endlessness,Om det oändliga,,,,,,,,,,
2020s,2020s,2020s,2020s,,,,,,,,,,
2020 (77th),Kiyoshi Kurosawa,Wife of a Spy,スパイの妻,,,,,,,,,,
2021 (78th),Jane Campion,The Power of the Dog,The Power of the Dog,,,,,,,,,,
2022 (79th),Luca Guadagnino,Bones and All,Bones and All,,,,,,,,,,
2023 (80th),Matteo Garrone,Io Capitano,Io Capitano,,,,,,,,,,
,,,,2.0,Andrei Konchalovsky,Russia,"The Postman's White Nights (2014), Paradise (2016)",,,,,,
,,,,,,,,1953.0,Little Fugitive,Little Fugitive,"Raymond Abrashkin, Morris Engel, and Ruth Orkin",,
,,,,,,,,1953.0,Moulin Rouge,Moulin Rouge,John Huston,,
,,,,,,,,1953.0,Sadko,Садко,Aleksandr Ptushko,,
,,,,,,,,1953.0,Thérèse Raquin,Thérèse Raquin,Marcel Carné,,
,,,,,,,,1953.0,Ugetsu,雨月物語,Kenji Mizoguchi,,
,,,,,,,,1953.0,I Vitelloni,I Vitelloni,Federico Fellini,,
,,,,,,,,1954.0,On the Waterfront,On the Waterfront,Elia Kazan,,
,,,,,,,,1954.0,Sansho the Bailiff,山椒大夫,Kenji Mizoguchi,,
,,,,,,,,1954.0,Seven Samurai,七人の侍,Akira Kurosawa,,
,,,,,,,,1954.0,La Strada,La Strada,Federico Fellini,,
,,,,,,,,1955.0,Le Amiche,Le Amiche,Michelangelo Antonioni,,
,,,,,,,,1955.0,The Big Knife,The Big Knife,Robert Aldrich,,
,,,,,,,,1955.0,Ciske the Rat,Ciske de Rat,Wolfgang Staudte,,
,,,,,,,,1955.0,The Grasshopper,Попрыгунья,Samson Samsonov,,
,,,,,,,,1957.0,White Nights,Le Notti Bianche,Luchino Visconti,,
,,,,,,,,1988.0,Landscape in the Mist,Τοπίο στην ομίχλη,Theo Angelopoulos,,
,,,,,,,,1989.0,Death of a Tea Master,千利休 本覺坊遺文,Kei Kumai,,
,,,,,,,,1989.0,Recollections of the Yellow House,Recordações da Casa Amarela,João César Monteiro,,
,,,,,,,,1991.0,The Fisher King,The Fisher King,Terry Gilliam,,
,,,,,,,,1991.0,J'entends plus la guitare,J'entends plus la guitare,Philippe Garrel,,
,,,,,,,,1991.0,Raise the Red Lantern,大紅燈籠高高掛,Zhang Yimou,,
,,,,,,,,1992.0,A Heart in Winter,Un cœur en hiver,Claude Sautet,,
,,,,,,,,1992.0,Jamón jamón,Jamón jamón,Bigas Luna,,
,,,,,,,,1992.0,Luxury Hotel,Hotel de lux,Dan Pița,,
,,,,,,,,1993.0,Kosh ba kosh,Кош-ба-кош,Bakhtyar Khudojnazarov,,
,,,,,,,,1994.0,Heavenly Creatures,Heavenly Creatures,Peter Jackson,,
,,,,,,,,1994.0,Little Odessa,Little Odessa,James Gray,,
,,,,,,,,1994.0,Il toro,Il toro,Carlo Mazzacurati,,
,,,,,,,,1981.0,Do You Remember Dolly Bell?,Сјећаш ли се Доли Бел?,Emir Kusturica,Yugoslavia,
,,,,,,,,1982.0,Sciopèn,Sciopèn,Luciano Odorisio,Italy,
,,,,,,,,1982.0,The Hes Case,De smaak van water,Orlow Seunke,Netherlands,
,,,,,,,,1983.0,Sugar Cane Alley,La Rue Cases-Nègres,Euzhan Palcy,France,
,,,,,,,,1984.0,Sonatine,Sonatine,Micheline Lanctôt,Canada,
,,,,,,,,1985.0,Dust,Dust,Marion Hänsel,"Belgium, France",
,,,,,,,,1986.0,A King and His Movie,La película del rey,Carlos Sorín,Argentina,
,,,,,,,,1987.0,Maurice,Maurice,James Ivory,United Kingdom,
,,,,,,,,1990.0,Sirup,Sirup,,Denmark,Helle Ryslinge
,,,,,Sima Urale,,,1996.0,,O Tamaiti,,,
,,,,,Teboho Mahlatsi,,,1999.0,,Portrait of a Young Man Drowning,,,
,,,,,Peter Long,,,2000.0,,A Telephone Call for Genevieve Snow,,,
,,,,,Jan Krüger,,,2001.0,,Freunde,,,
,,,,,Irina Evteeva,,,2002.0,,Clown,,,
,,,,,Murad Ibragimbekov,,,2003.0,,Neft,,,
,,,,,Kamel Cherif,,,2004.0,,Signe d'appartenance,,,
,,,,,Chien-ping Lin,,,2005.0,,Xiaozhan,,,
,,,,,Alix Delaporte,,,2006.0,,Comment on freine dans une descente?,,,
,,,,,Paddy Considine,,,2007.0,,Dog Altogether,,,
,,,,,Emanuele Crialese,,,2006.0,Nuovomondo,Nuovomondo,,Italy,
